id,star,nickname,name,group,relation
1,天魁星,及时雨,宋江,宋江,自己
2,天罡星,玉麒麟,卢俊义,卢俊义,自己
3,天机星,智多星,吴用,宋江,军师
4,天闲星,入云龙,公孙胜,无党派,
5,天勇星,大刀,关胜,宋江,降将
6,天雄星,豹子头,林冲,林冲,自己
7,天猛星,霹雳火,秦明,宋江,降将
8,天威星,双鞭,呼延灼,宋江,降将
9,天英星,小李广,花荣,宋江,兄弟
10,天贵星,小旋风,柴进,无党派,
11,天富星,扑天雕,李应,李应,自己
12,天满星,美髯公,朱仝,宋江,同事
13,天孤星,花和尚,鲁智深,鲁智深,自己
14,天伤星,行者,武松,鲁智深,兄弟
15,天立星,双枪将,董平,宋江,降将
16,天捷星,没羽箭,张清,宋江,降将
17,天暗星,青面兽,杨志,鲁智深,兄弟
18,天祐星,金枪手,徐宁,宋江,降将
19,天空星,急先锋,索超,宋江,降将
20,天速星,神行太保,戴宗,宋江,好兄弟
21,天异星,赤发鬼,刘唐,林冲,兄弟
22,天杀星,黒旋风,李逵,宋江,好兄弟
23,天微星,九纹龙,史进,鲁智深,好兄弟
24,天究星,没遮拦,穆弘,宋江,好兄弟
25,天退星,插翅虎,雷横,宋江,同事
26,天寿星,混江龙,李俊,宋江,好兄弟
27,天剑星,立地太岁,阮小二,林冲,兄弟
28,天平星,船火儿,张横,穆弘,兄弟
29,天罪星,短命二郎,阮小五,林冲,兄弟
30,天损星,浪里白条,张顺,穆弘,兄弟
31,天败星,活阎罗,阮小七,林冲,兄弟
32,天牢星,病关索,杨雄,卢俊义,兄弟
33,天慧星,拚命三郎,石秀,卢俊义,兄弟
34,天暴星,两头蛇,解珍,孙立,姑舅兄弟
35,天哭星,双尾蝎,解宝,孙立,姑舅兄弟
36,天巧星,浪子,燕青,卢俊义,主仆
37,地魁星,神机军师,朱武,史进,兄弟
38,地煞星,镇三山,黄信,宋江,降将
39,地勇星,病尉迟,孙立,孙立,自己
40,地杰星,丑郡马,宣赞,关胜,副将
41,地雄星,井木犴,郝思文,关胜,副将
42,地威星,百胜将,韩滔,呼延灼,副将
43,地英星,天目将,彭玘,呼延灼,副将
44,地奇星,圣水将,单廷珪,关胜,降将
45,地猛星,神火将,魏定国,关胜,降将
46,地文星,圣手书生,萧让,无党派,
47,地正星,铁面孔目,裴宣,戴宗,收编
48,地辟星,摩云金翅,欧鹏,宋江,兄弟
49,地阖星,火眼狻猊,邓飞,戴宗,收编
50,地强星,锦毛虎,燕顺,宋江,兄弟
51,地暗星,锦豹子,杨林,戴宗,收编
52,地轴星,轰天雷,凌振,呼延灼,副将
53,地会星,神算子,蒋敬,欧鹏,兄弟
54,地佐星,小温侯,吕方,宋江,护卫
55,地佑星,赛仁贵,郭盛,宋江,护卫
56,地灵星,神医,安道全,无党派,
57,地兽星,紫髯伯,皇甫端,无党派,
58,地微星,矮脚虎,王英,燕顺,兄弟
59,地慧星,一丈青,扈三娘,宋江,干妹妹
60,地暴星,丧门神,鲍旭,李逵,收编
61,地然星,混世魔王,樊瑞,无党派,
62,地猖星,毛头星,孔明,宋江,师徒
63,地狂星,独火星,孔亮,宋江,师徒
64,地飞星,八臂哪吒,项充,李逵,收编
65,地走星,飞天大圣,李衮,李逵,收编
66,地巧星,玉臂匠,金大坚,无党派,
67,地明星,铁笛仙,马麟,欧鹏,兄弟
68,地进星,出洞蛟,童威,李俊,兄弟
69,地退星,翻江蜃,童猛,李俊,兄弟
70,地満星,玉幡竿,孟康,戴宗,收编
71,地遂星,通臂猿,侯健,宋江,收编
72,地周星,跳涧虎,陈达,史进,兄弟
73,地隐星,白花蛇,杨春,史进,兄弟
74,地异星,白面郎君,郑天寿,燕顺,兄弟
75,地理星,九尾龟,陶宗旺,欧鹏,兄弟
76,地俊星,铁扇子,宋清,宋江,亲兄弟
77,地乐星,铁叫子,乐和,孙立,兄弟
78,地捷星,花项虎,龚旺,张清,副将
79,地速星,中箭虎,丁得孙,张清,副将
80,地镇星,小遮拦,穆春,穆弘,兄弟
81,地羁星,操刀鬼,曹正,鲁智深,兄弟
82,地魔星,云里金刚,宋万,林冲,兄弟
83,地妖星,摸著天,杜迁,林冲,兄弟
84,地幽星,病大虫,薛永,宋江,收编
85,地伏星,金眼彪,施恩,鲁智深,兄弟
86,地僻星,打虎将,李忠,鲁智深,兄弟
87,地空星,小霸王,周通,鲁智深,兄弟
88,地孤星,金钱豹子,汤隆,李逵,收编
89,地全星,鬼睑儿,杜兴,李应,仆人
90,地短星,出林龙,邹渊,孙立,叔侄
91,地角星,独角龙,邹润,孙立,叔侄
92,地囚星,旱地忽律,朱贵,林冲,兄弟
93,地藏星,笑面虎,朱富,林冲,兄弟
94,地平星,铁臂膊,蔡福,卢俊义,牢里结识
95,地损星,一枝花,蔡庆,卢俊义,牢里结识
96,地奴星,催命判官,李立,李俊,兄弟
97,地察星,青眼虎,李云,李逵,收编
98,地恶星,没面目,焦挺,李逵,收编
99,地丑星,石将军,石勇,宋江,收编
100,地数星,小尉迟,孙新,孙立,兄弟
101,地阴星,母大虫,顾大嫂,孙立,兄弟
102,地刑星,菜园子,张青,鲁智深,兄弟
103,地壮星,母夜叉,孙二娘,鲁智深,兄弟
104,地劣星,活闪婆,王定六,张顺,收编
105,地健星,险道神,郁保四,无党派,
106,地耗星,白日鼠,白胜,林冲,兄弟
107,地贼星,鼓上蚤,时迁,卢俊义,兄弟
108,地狗星,金毛犬,段景住,无党派,
